cve,descrip
1,Papá
2,Mamá
3,Otro familiar
4,"Autoridad escolar o laboral (patrón, jefe, director de escuela)"
5,Compañera(o) de escuela o trabajo
6,"Amiga(o), vecina(o) o conocida(o)"
7,Personal de salud
8,"Grupo, asociación o colectivo religioso, político o social"
9,"Policía, militar u otra autoridad de gobierno"
10,Otra persona
