cve,descrip
1,Trabajó (por lo menos una hora)
2,"Tenía trabajo, pero no trabajó"
3,Buscó trabajo
4,Es pensionada(o) o jubilada(o)
5,Es estudiante
6,Se dedica a los quehaceres de su hogar o al cuidado de sus miembros o integrantes
7,Tiene alguna limitación física o mental permanente que le impide trabajar
8,Estaba en otra situación diferente a las anteriores
