cve,descrip
1,Porque pertenece a una comunidad afromexicana o afrodescendiente
2,Porque sus antepasados familiares eran de algún país de África
3,"Por su rasgos físicos (tono de piel, pelo rizado)"
4,Otro
5,Por ser mexicano o tener padres mexicanos
