cve,descrip
1,Casi siempre por mujeres y algunas ocasiones por hombres
2,Por mujeres y hombres por igual
3,Casi siempre por hombres y algunas ocasiones por mujeres
4,Únicamente por hombres
5,Únicamente por mujeres
