cve,descrip
1,Casi siempre con mujeres y algunas ocasiones con hombres
2,Con mujeres y hombres por igual
3,Casi siempre con hombres y algunas ocasiones con mujeres
4,Únicamente con hombres
5,Únicamente con mujeres
