cve,descrip
1,El Seguro Popular o para una Nueva Generación (Siglo XXI) o Instituto de Salud para el Bienestar
2,"El IMSS, ISSSTE, PEMEX, Ejército Nacional o Marina"
3,"Un consultorio, clínica u hospital privado"
4,Un consultorio de farmacia
5,No se atiende
6,Otro
