cve,descrip
1,Una mujer a la que le gustan solamente las mujeres
2,Un hombre al que le gustan solamente los hombres
3,Una persona que le gustan tanto hombres como mujeres
4,Una mujer que le gustan solamente los hombres
5,Un hombre que le gustan solamente las mujeres
6,Con otra orientación
