"NIV","descrip"
"00
","Ninguno"
"01
","Preescolar"
"02
","Primaria"
"03
","Secundaria"
"04
","Normal básica"
"05
","Carrera técnica con secundaria terminada"
"06
","Preparatoria o bachillerato"
"07
","Carrera técnica con preparatoria terminada"
"08
","Licenciatura o profesional"
"09
","Especialidad"
"10
","Maestría o doctorado"
