"P3_9","descrip"
"01
","Seguro Social (IMSS)"
"02
","ISSSTE"
"03
","ISSSTE estatal"
"04
","PEMEX, Defensa o Marina"
"05
","Centro de Salud u Hospital de la SSA, Seguro Popular o Instituto de Salud para el Bienestar"
"06
","IMSS-PROSPERA o IMSS-BIENESTAR"
"07
","Consultorio, clínica u hospital privado"
"08
","Consultorio de farmacia"
"09
","Otro lugar"
"10
","No se atiende"
