"PM2_2","descrip"
"1
","Calles, instalaciones y transportes inadecuados a sus condiciones"
"2
","Costo en cuidados, terapias y tratamientos"
"3
","Discriminación por su apariencia"
"4
","Ser excluidas o rechazadas en la toma de decisiones"
"5
","Falta de oportunidades para encontrar empleo"
"6
","Falta de un trato justo ante la autoridad"
"7
","Falta de oportunidades para seguir estudiando"
"8
","Falta de un sistema de apoyo para una vida independiente"
"9
","Otro"
