"PM7_2","descrip"
"1
","Falta de empleo"
"2
","Falta de oportunidades para seguir estudiando"
"3
","Adicciones (alcohol, tabaco, droga)"
"4
","Violencia e inseguridad"
"5
","Embarazo en la adolescencia"
"6
","Acoso escolar o bullying"
"7
","Problemas personales o familiares"
"8
","Otro"
