"PM9_2","descrip"
"1
","una autoridad del lugar (clínica, trabajo, oficina, autoridad comunitaria)?"
"2
","el Ministerio Público, la policía o gobierno?"
"3
","la Comisión Nacional o Estatal de Derechos Humanos?"
"4
","el CONAPRED?"
"5
","otra instancia?"
"6
","No lo informó"
