"FILTRO_J2","descrip"
"1
","FILTRO J2. VERIFIQUE EN CUESTIONARIO GENERAL:FILTRO J2. VERIFIQUE EN CUESTIONARIO GENERAL: SI EN 3.5 (EDAD) ES 12 A 24 AÑOS Y 3.19 ES CÓDIGO 1 (ASISTE A LA ESCUELA), CONTINÚE."
"2
","DE LO CONTRARIO, PASE A FILTRO J3."
