"PM7_10","descrip"
"01
","Terminó sus estudios, logró su meta educativa"
"02
","Tenía que cuidar a alguien o dedicarse a los quehaceres del hogar"
"03
","No quiso, no le gustó o piensa que no es apta(o)"
"04
","Tenía que trabajar para ayudar en los gastos del hogar"
"05
","No pudo pagar los gastos escolares"
"06
","Se unió, casó o embarazó"
"07
","Debido a la pandemia por COVID-19"
"08
","Otro"
"09
","Sí asiste o está inscrita(o) en la escuela"
"99
","No especificado"
