"P3_22","descrip"
"1
","ayudó en un negocio (familiar o no familiar)?"
"2
","vendió o hizo algún producto para vender?"
"3
","ayudó en las labores del campo, o en la cría de animales?"
"4
","a cambio de un pago realizó otro tipo de actividad? (Por ejemplo: lavó o planchó ajeno, cuidó personas)"
"5
","estuvo de aprendiz o haciendo su servicio social?"
"6
","No ayudó ni trabajó"
