"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Apertura a la diversidad en la familia. Que vive con SIDA o VIH","PO1_2_8","Alfanumérico",1,"9
"
"Apertura a la diversidad en la familia. Migrante o refugiada","PO1_2_9","Alfanumérico",1,"1
"
"Apertura a la diversidad en la familia. Migrante o refugiada","PO1_2_9","Alfanumérico",1,"2
"
"Apertura a la diversidad en la familia. Migrante o refugiada","PO1_2_9","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito Nacional. Persona adulta mayor","PO1_3_1","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito Nacional. Persona adulta mayor","PO1_3_1","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito Nacional. Persona adulta mayor","PO1_3_1","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito Nacional. Persona adulta mayor","PO1_3_1","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito Nacional. Persona adulta mayor","PO1_3_1","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito Nacional. Mujer","PO1_3_2","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito Nacional. Mujer","PO1_3_2","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito Nacional. Mujer","PO1_3_2","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito Nacional. Mujer","PO1_3_2","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito Nacional. Mujer","PO1_3_2","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito Nacional. Persona con discapacidad","PO1_3_3","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito Nacional. Persona con discapacidad","PO1_3_3","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito Nacional. Persona con discapacidad","PO1_3_3","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito Nacional. Persona con discapacidad","PO1_3_3","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito Nacional. Persona con discapacidad","PO1_3_3","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito Nacional. Persona indígena","PO1_3_4","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito Nacional. Persona indígena","PO1_3_4","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito Nacional. Persona indígena","PO1_3_4","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito Nacional. Persona indígena","PO1_3_4","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito Nacional. Persona indígena","PO1_3_4","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito Nacional. Persona nacida en el extranjero con padres mexicanos","PO1_3_5","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito Nacional. Persona nacida en el extranjero con padres mexicanos","PO1_3_5","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito Nacional. Persona nacida en el extranjero con padres mexicanos","PO1_3_5","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito Nacional. Persona nacida en el extranjero con padres mexicanos","PO1_3_5","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito Nacional. Persona nacida en el extranjero con padres mexicanos","PO1_3_5","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito Nacional. Persona afrodescendiente","PO1_3_6","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito Nacional. Persona afrodescendiente","PO1_3_6","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito Nacional. Persona afrodescendiente","PO1_3_6","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito Nacional. Persona afrodescendiente","PO1_3_6","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito Nacional. Persona afrodescendiente","PO1_3_6","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito Nacional. Persona gay (homosexual) o lesbiana","PO1_3_7","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito Nacional. Persona gay (homosexual) o lesbiana","PO1_3_7","Alfanumérico",1,"2
"
