"FILTRO_2","descrip"
"1
","PUEDE PROPORCIONAR LA INFORMACIÓN DE MANERA DIRECTA O CON AYUDA DE UN(A) TRADUCTOR(A)"
"2
","PUEDE PROPORCIONAR LA INFORMACIÓN CON INTÉRPRETE"
"3
","NO PUEDE RESPONDER POR IMPOSIBILIDAD DE COMUNICACIÓN, COMPRENSIÓN,POR ESTADO DE SALUD GRAVE O ENFERMEDAD TERMINAL"
