nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,
"Pregunta P6.11.5 De los 12 a los 17 años, ¿por molestarla(o) o hacerle sentir mal le empujaban, jaloneaban o golpeaban?",1,C,p6_11_5,p6_11_5,"1,2",,,
"Pregunta P6.12.1 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - mamá",1,C,p6_12_1,p6_12_1,"1,2",,,
"Pregunta P6.12.2 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - papá",1,C,p6_12_2,p6_12_2,"1,2",,,
"Pregunta P6.12.3 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - hermana(s), hermano(s)",1,C,p6_12_3,p6_12_3,"1,2",,,
"Pregunta P6.12.4 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - otro familiar",1,C,p6_12_4,p6_12_4,"1,2",,,
"Pregunta P6.12.5 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - amiga(o) o conocida(o)",1,C,p6_12_5,p6_12_5,"1,2",,,
"Pregunta P6.12.6 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - maestra(o) u orientador(a) escolar",1,C,p6_12_6,p6_12_6,"1,2",,,
"Pregunta P6.12.7 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - especialista de la salud (psicólogo, médico, enfermera)",1,C,p6_12_7,p6_12_7,"1,2",,,
"Pregunta P6.12.8 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - otra persona distinta a las anteriores",1,C,p6_12_8,p6_12_8,"1,2",,,
"Pregunta P6.12.9 De las siguientes personas, indique quién o quiénes le hablaron u orientaron sobre temas de sexualidad: - nadie le habló u orientó",1,C,p6_12_9,p6_12_9,"1,2",,,
Estrato de diseño,3,C,est_dis,,001...513,,,
Unidad Primaria de Muestreo de Diseño,7,C,upm_dis,,0000001...0006374,,,
Factor de expansión,5,C,factor,,77...88053,,,
