"PM1_10","descrip"
"1
","Falta de respeto a sus tradiciones, usos y costumbres"
"2
","Falta de servicios básicos (luz, agua, caminos)"
"3
","Que les quiten sus tierras"
"4
","Que el gobierno o empresas exploten sus recursos naturales sin consultarles"
"5
","Falta de reconocimiento a su autonomía como pueblo"
"6
","Persecución y violencia a quienes defienden sus territorios y recursos"
"7
","Otro"
