"PM4_2","descrip"
"1
","Desigualdad de trato en el trabajo o escuela"
"2
","Son rechazadas o aisladas por la sociedad"
"3
","Falta de oportunidades para mostrar sus creencias a la sociedad"
"4
","Falta de respeto a sus costumbres y tradiciones"
"5
","El gobierno apoya más a la comunidad católica"
"6
","Otro"
"7
","Ninguna"
