"PO5_2","descrip"
"1
","Siento gusto o atracción solo por personas de mi mismo sexo, es decir, soy homosexual, gay o lesbiana"
"2
","Siento gusto o atracción tanto por hombres como por mujeres, es decir, soy bisexual"
"3
","Siento gusto o atracción solo por personas del sexo distinto al mío: esto es, si soy mujer me gustan los hombres; si soy hombre me gustan las mujeres (Heterosexual)"
"4
","Otra orientación"
"9
","No especificado"
