"PO4_7","descrip"
"1
","Falta de experiencia"
"2
","Falta de preparación técnica, académica o de capacitación"
"3
","No cumplía con la edad"
"4
","Por su apariencia (forma de vestir, hablar, tatuajes, perforaciones, peso, estatura)"
"5
","Porque no emplean personas con discapacidad"
"6
","Por embarazo"
"7
","Otro"
