"PM5_2","descrip"
"1
","Su pensión no alcanza para cubrir sus necesidades básicas"
"2
","Falta de oportunidades para encontrar trabajo"
"3
","Depender económicamente de sus familiares"
"4
","Carecer de acceso a servicios de salud"
"5
","Maltrato o abandono"
"6
","Despojo o robo de sus bienes (casa, terreno, joyas)"
"7
","Carecer de pensión o jubilación"
"8
","Otro"
