"PM3_2","descrip"
"1
","Falta de empleo"
"2
","Falta de recursos económicos (comer, vestir)"
"3
","Discriminación por venir de otro lugar"
"4
","Abuso de las autoridades"
"5
","Falta de respeto a sus costumbres y tradiciones"
"6
","Violencia y hostigamiento"
"7
","Falta de atención de las autoridades migratorias"
"8
","Otro"
