"P3_8","descrip"
"1
","Aquí, en este municipio (alcaldía)"
"2
","En este estado, pero en otro municipio (alcaldía) (especifique)"
"3
","En otro estado (especifique)"
"4
","En Estados Unidos de América"
"5
","En otro país (especifique)"
"9
","No sabe"
