"FILTRO_5","descrip"
"1
","SI POR VERIFICACIÓN NO SE APLICÓ ALGÚN MÓDULO (1, 2, 3 O 4) A LA PERSONA, Y TAMPOCO LE APLICA MÓDULO 5, 7 U 8, VERIFIQUE SI ESTA ES LA ELEGIDA DEL COE (CÓDIGO 1 EN 3.26 DEL CUESTIONARIO GENERAL), Y CONTINÚE CON ESE INSTRUMENTO"
"2
","DE LO CONTRARIO, TERMINE LA ENTREVISTA INDIVIDUAL"
