"FILTRO_3","descrip"
"1
","PUEDE PROPORCIONAR LA INFORMACIÓN DE MANERA DIRECTA"
"2
","PUEDE PROPORCIONAR LA INFORMACIÓN CON TRADUCTOR(A)"
"3
","NO PUEDE RESPONDER POR FALTA DE TRADUCTOR(A), FALTA DE COMPRENSIÓN, POR ESTADO DE SALUD GRAVE O ENFERMEDAD TERMINAL"
