"FILTRO_PM1","descrip"
"1
","SI EN CUESTIONARIO GENERAL 3.7 (LUGAR DE NACIMIENTO) = CÓDIGOS 3 O 4, CONTINÚE"
"2
","DE LO CONTRARIO, SI SOLAMENTE 3.8 (LUGAR DE RESIDENCIA EN 2017) = CÓDIGOS 2 A 5, PASE A FILTRO PM2"
