"FILTRO_PD1","descrip"
"1
","SI EN 3.8 (LUGAR DE RESIDENCIA EN 2017) = CÓDIGO 2 A 5, CONTINÚE"
"2
","DE LO CONTRARIO, PASE AL SIGUIENTE RECUADRO DE INSTRUCCIONES"
