"FILTRO_M1","descrip"
"1
","SI EN 3.5 (EDAD) ES 30 A 96 AÑOS Y EN 3.21 ES CÓDIGO 3 O 6 (BUSCÓ TRABAJO O SE DEDICA A LOS QUEHACERES DE SU HOGAR O AL CUIDADO DE SUS MIEMBROS O INTEGRANTES), Y 3.22 ES CÓDIGO 6 (NO AYUDÓ, NI TRABAJÓ), CONTINÚE"
"2
","DE LO CONTRARIO, PASE A 8.8"
