"PM8_10","descrip"
"1
","Maltrato o abuso de las personas que las contratan (empleador/a)"
"2
","Malas condiciones de trabajo (horarios extensos, bajo salario)"
"3
","Falta de prestaciones laborales (seguro, aguinaldo, vacaciones pagadas, etcétera)"
"4
","Otro"
