"PM8_2","descrip"
"1
","Delincuencia e inseguridad"
"2
","Desigualdad entre hombres y mujeres"
"3
","Falta de oportunidades para encontrar trabajo"
"4
","Machismo"
"5
","Dificultades para combinar vida familiar y laboral"
"6
","Violencia hacia las mujeres"
"7
","Otro"
