"PM8_5_4","descrip"
"1
","Solo ella"
"2
","Esposo(a), pareja o novio(a)"
"3
","Ambos"
"4
","Familiares (mamá, papá, hermanos/as)"
"5
","Otra(s) persona(s)"
"6
","No aplica"
"8
","No responde"
