"FILTRO_1","descrip"
"1
","HABLA LENGUA INDÍGENA Y HABLA ESPAÑOL (3.12 Y 3.14 CON CÓDIGO 1) O SE ADSCRIBE INDÍGENA (3.16 CON CÓDIGO 1)"
"2
","HABLA LENGUA INDÍGENA Y NO HABLA ESPAÑOL (3.12 CON CÓDIGO 1 Y 3.14 CON CÓDIGO 2 O 9) • DIRECTA O CON TRADUCTOR(A)"
"3
","HABLA LENGUA INDÍGENA Y NO HABLA ESPAÑOL (3.12 CON CÓDIGO 1 Y 3.14 CON CÓDIGO 2 O 9) • SIN TRADUCTOR(A)"
"4
","NO PUEDE RESPONDER POR FALTA DE TRADUCTOR(A), FALTA DE COMPRENSIÓN, POR ESTADO DE SALUD GRAVE O ENFERMEDAD TERMINAL"
"5
","SOLO SE ADSCRIBE AFRODESCENDIENTE (3.10 CON CÓDIGO 1)"
