"PVI_2","descrip"
"1
","porque habla lengua indígena?"
"2
","porque nació o pertenece a una comunidad indígena?"
"3
","porque su madre, padre o abuelos hablan o hablaban lengua indígena?"
"4
","porque su madre, padre o abuelos pertenecen a una comunidad indígena?"
"5
","porque la comunidad le reconoce como persona indígena?"
"6
","por sus costumbres y tradiciones?"
"7
","por ser mexicana(o)?"
