"PM9_3","descrip"
"1
","No sabía que podía hacerlo o dónde reportarlo"
"2
","Por temor"
"3
","Piensa que no le harían caso o es pérdida de tiempo"
"4
","No tenía importancia"
"5
","Porque se siente menos"
"6
","Otro"
"9
","No especificado"
