"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Opinión sobre roles de género. Cuidar bebés","PM6_5_3","Alfanumérico",1,"9
"
"Opinión sobre roles de género. Limpiar la casa y cocinar","PM6_5_4","Alfanumérico",1,"1
"
"Opinión sobre roles de género. Limpiar la casa y cocinar","PM6_5_4","Alfanumérico",1,"2
"
"Opinión sobre roles de género. Limpiar la casa y cocinar","PM6_5_4","Alfanumérico",1,"3
"
"Opinión sobre roles de género. Limpiar la casa y cocinar","PM6_5_4","Alfanumérico",1,"8
"
"Opinión sobre roles de género. Limpiar la casa y cocinar","PM6_5_4","Alfanumérico",1,"9
"
"Opinión sobre roles de género. Mandar en el gobierno","PM6_5_5","Alfanumérico",1,"1
"
"Opinión sobre roles de género. Mandar en el gobierno","PM6_5_5","Alfanumérico",1,"2
"
"Opinión sobre roles de género. Mandar en el gobierno","PM6_5_5","Alfanumérico",1,"3
"
"Opinión sobre roles de género. Mandar en el gobierno","PM6_5_5","Alfanumérico",1,"8
"
"Opinión sobre roles de género. Mandar en el gobierno","PM6_5_5","Alfanumérico",1,"9
"
"Emociones. En tu calle","PM6_6_01","Alfanumérico",1,"1
"
"Emociones. En tu calle","PM6_6_01","Alfanumérico",1,"2
"
"Emociones. En tu calle","PM6_6_01","Alfanumérico",1,"3
"
"Emociones. En tu calle","PM6_6_01","Alfanumérico",1,"4
"
"Emociones. En tu calle","PM6_6_01","Alfanumérico",1,"5
"
"Emociones. En tu calle","PM6_6_01","Alfanumérico",1,"9
"
"Emociones. En tu colonia","PM6_6_02","Alfanumérico",1,"1
"
"Emociones. En tu colonia","PM6_6_02","Alfanumérico",1,"2
"
"Emociones. En tu colonia","PM6_6_02","Alfanumérico",1,"3
"
"Emociones. En tu colonia","PM6_6_02","Alfanumérico",1,"4
"
"Emociones. En tu colonia","PM6_6_02","Alfanumérico",1,"5
"
"Emociones. En tu colonia","PM6_6_02","Alfanumérico",1,"9
"
"Emociones. Con tu mamá","PM6_6_03","Alfanumérico",1,"1
"
"Emociones. Con tu mamá","PM6_6_03","Alfanumérico",1,"2
"
"Emociones. Con tu mamá","PM6_6_03","Alfanumérico",1,"3
"
"Emociones. Con tu mamá","PM6_6_03","Alfanumérico",1,"4
"
"Emociones. Con tu mamá","PM6_6_03","Alfanumérico",1,"5
"
"Emociones. Con tu mamá","PM6_6_03","Alfanumérico",1,"9
"
"Emociones. Con tu papá","PM6_6_04","Alfanumérico",1,"1
"
"Emociones. Con tu papá","PM6_6_04","Alfanumérico",1,"2
"
"Emociones. Con tu papá","PM6_6_04","Alfanumérico",1,"3
"
"Emociones. Con tu papá","PM6_6_04","Alfanumérico",1,"4
"
"Emociones. Con tu papá","PM6_6_04","Alfanumérico",1,"5
"
"Emociones. Con tu papá","PM6_6_04","Alfanumérico",1,"9
"
"Emociones. Con tus hermanas o hermanos","PM6_6_05","Alfanumérico",1,"1
"
"Emociones. Con tus hermanas o hermanos","PM6_6_05","Alfanumérico",1,"2
"
"Emociones. Con tus hermanas o hermanos","PM6_6_05","Alfanumérico",1,"3
"
"Emociones. Con tus hermanas o hermanos","PM6_6_05","Alfanumérico",1,"4
"
"Emociones. Con tus hermanas o hermanos","PM6_6_05","Alfanumérico",1,"5
"
"Emociones. Con tus hermanas o hermanos","PM6_6_05","Alfanumérico",1,"9
"
"Emociones. Con tus tías o tíos","PM6_6_06","Alfanumérico",1,"1
"
"Emociones. Con tus tías o tíos","PM6_6_06","Alfanumérico",1,"2
"
"Emociones. Con tus tías o tíos","PM6_6_06","Alfanumérico",1,"3
"
"Emociones. Con tus tías o tíos","PM6_6_06","Alfanumérico",1,"4
"
"Emociones. Con tus tías o tíos","PM6_6_06","Alfanumérico",1,"5
"
"Emociones. Con tus tías o tíos","PM6_6_06","Alfanumérico",1,"9
"
"Emociones. Con tus amigas o amigos","PM6_6_07","Alfanumérico",1,"1
"
"Emociones. Con tus amigas o amigos","PM6_6_07","Alfanumérico",1,"2
"
"Emociones. Con tus amigas o amigos","PM6_6_07","Alfanumérico",1,"3
"
"Emociones. Con tus amigas o amigos","PM6_6_07","Alfanumérico",1,"4
"
"Emociones. Con tus amigas o amigos","PM6_6_07","Alfanumérico",1,"5
"
"Emociones. Con tus amigas o amigos","PM6_6_07","Alfanumérico",1,"9
"
"Emociones. Con tus compañeras o compañeros de la escuela","PM6_6_08","Alfanumérico",1,"1
"
"Emociones. Con tus compañeras o compañeros de la escuela","PM6_6_08","Alfanumérico",1,"2
"
